xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
51831169,-26136344,33646001,-103492316,39964323,141887006,-233919405,85593635,313593,-255178,6553,-5525,20749,4130
52771449,-22125593,36489928,-102527298,37438641,142552215,-234553532,83804085,357681,-184590,8168,2159,8187,-21137
53438265,-18000355,39305853,-101483601,34901574,143173211,-235172643,82009171,385173,-105540,3981,8324,-16470,-15178
53815403,-13777721,42091621,-100362042,32353924,143749828,-235776696,80209007,394383,-21510,-2991,8734,-16816,13200
53887059,-9477069,44845101,-99163495,29796487,144281915,-236365648,78403706,384277,63607,-7982,3275,7660,22087
53638127,-5120238,47564187,-97888894,27230055,144769342,-236939459,76593384,354604,145576,-7724,-4345,20820,-1634
53054559,-731680,50246798,-96539226,24655413,145211997,-237498089,74778154,306061,219933,-2361,-9075,3208,-22944
52123786,3661437,52890884,-95115538,22073332,145609780,-238041498,72958134,240461,282199,4578,-7622,-19144,-10353
50835211,8029177,55494421,-93618930,19484575,145962605,-238569648,71133436,160853,328198,8283,-833,-13243,17525
49180770,12338872,58055418,-92050557,16889892,146270388,-239082500,69304179,71509,354487,6089,6550,12210,19529
47155546,16555268,60571916,-90411629,14290020,146533048,-239580017,67470477,-22267,358810,-396,9353,19620,-7303
44758418,20640810,63041991,-88703407,11685694,146750498,-240062161,65632446,-114576,340476,-6642,5793,-1961,-23349
41992722,24556082,65463752,-86927205,9077651,146922646,-240528898,63790204,-199491,300539,-8504,-1614,-20650,-4895
38866873,28260436,67835346,-85084388,6466634,147049393,-240980192,61943867,-271686,241700,-4771,-7952,-8861,20783
35394900,31712800,70154957,-83176369,3853402,147130642,-241416007,60093552,-326928,167965,2140,-8940,16011,15782
31596837,34872674,72420808,-81204612,1238734,147166297,-241836310,58239377,-362366,84170,7540,-3739,17220,-12530
27498899,37701264,74631163,-79170628,-1376575,147156275,-242241068,56381458,-376606,-4506,7580,4104,-7011,-22331
23133400,40162719,76784328,-77075976,-3991715,147100509,-242630248,54519915,-369610,-92961,2242,9054,-20896,858
18538359,42225377,78878651,-74922258,-6605856,146998950,-243003818,52654865,-342521,-176468,-4673,7763,-3935,22777
13756789,43862946,80912524,-72711122,-9218162,146851571,-243361746,50786426,-297437,-250886,-8485,1268,18833,11074
8835690,45055498,82884386,-70444261,-11827784,146658372,-243704003,48914717,-237203,-312780,-6720,-6064,13768,-16991
3824792,45790209,84792719,-68123407,-14433870,146419372,-244030559,47039858,-165207,-359495,-507,-9358,-11637,-19949
-1224858,46061764,86636057,-65750334,-17035563,146134618,-244341384,45161968,-85197,-389194,6020,-6257,-19869,6556
-6262368,45872398,88412978,-63326856,-19632005,145804183,-244636450,43281165,-1110,-400865,8292,1232,1233,23381
-11238410,45231575,90122112,-60854825,-22222342,145428163,-244915729,41397571,83087,-394299,4661,7850,20506,5688
-16106477,44155357,91762140,-58336131,-24805719,145006676,-245179195,39511304,163546,-370054,-2253,8991,9478,-20411
-20823913,42665519,93331794,-55772698,-27381288,144539868,-245426821,37622485,236657,-329392,-7669,4032,-15557,-16347
-25352667,40788519,94829857,-53166484,-29948210,144027904,-245658582,35731236,299159,-274210,-8028,-3601,-17631,11852
-29659754,38554388,96255169,-50519482,-32505649,143470972,-245874452,33837675,348220,-206953,-3101,-8854,6324,22558
-33717459,35995641,97606620,-47833715,-35052783,142869279,-246074409,31941926,381508,-130549,3888,-8133,20929,-47
-37503297,33146255,98883159,-45111236,-37588797,142223054,-246258427,30044109,397249,-48333,8145,-1767,4611,-22584
-40999788,30040777,100083788,-42354127,-40112887,141532542,-246426486,28144345,394295,36010,6610,5846,-18527,-11748
-44194103,26713569,101207569,-39564497,-42624265,140798008,-246578562,26242757,372199,118517,389,9341,-14317,16429
-47077622,23198205,102253617,-36744479,-45122152,140019733,-246714635,24339466,331321,195017,-6129,6417,11026,20360
-49645442,19527010,103221110,-33896234,-47605788,139198012,-246834685,22434596,272953,261269,-8580,-800,20073,-5783
-51895888,15730745,104109282,-31021940,-50074430,138333155,-246938691,20528268,199443,313155,-5391,-7492,-537,-23379
-53830025,11838382,104917427,-28123801,-52527353,137425480,-247026635,18620606,114286,346980,1367,-9186,-20365,-6436
-55451206,7876996,105644899,-25204038,-54963852,136475308,-247098499,16711733,22101,359865,7158,-4583,-10126,20007
-56764668,3871720,106291114,-22264889,-57383238,135482960,-247154264,14801772,-71564,350190,7882,3237,15054,16922
-57777164,-154247,106855546,-19308609,-59784834,134448751,-247193915,12890847,-160666,317976,2997,8763,17991,-11164
-58496647,-4179581,107337734,-16337469,-62167968,133372986,-247217436,10979082,-239286,265061,-4003,8191,-5657,-22748
-58931997,-8184752,107737277,-13353749,-64531963,132255964,-247224811,9066600,-302304,194982,-8327,2077,-20960,-735
